tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
2.741358527,9.030148781,7.122917926,3.385674499,3.716479556,-1.733741558,-0.789502096,-1.20132801,0.290268728,0.317228599,0.95787622,0.306242362,0.026860867,unstable
9.347370371,32.6928563,9.614651767,,3.810902328,-1.725055538,-1.263031097,-0.847393844,0.902854043,0.836094885,0.064563093,0.422173101,-0.018341325,stable
5.321817274,3.366546868,9.966385951,4.05887201,2.472370605,-0.881236593,-0.91936003,-0.655951528,0.855271165,0.396311268,,0.217357572,0.040919121,unstable
2.806921636,8.202900691,0.771144251,9.425651136,2.691455641,-0.841867338,-0.952257055,-0.898106425,0.796311327,0.097519352,0.250701281,0.149239427,-0.048528678,stable
9.00013701,1.892874724,1.327336809,0.679810541,4.090708793,-0.846973986,-1.613920226,-1.6397912,0.330605922,,0.809328907,0.874687212,-0.033881137,stable
8.803842142,1.059559833,1.08183312,1.595881424,,-1.426308467,-0.90942934,-1.087223784,,0.247963117,,0.82020215,-0.049531887,stable
7.213694367,1.111691737,6.243123141,8.628701875,3.615525181,-0.8437656,-0.922535441,-1.84694561,0.902724168,0.167359818,0.460100056,0.550963879,0.048935346,unstable
7.616712866,3.357957956,0.709465045,4.725540941,3.958902261,-0.982306055,-1.97172146,-0.994610455,0.268190036,0.872019084,0.592630422,0.923650579,0.018576222,unstable
9.394881058,3.442533873,3.077178733,6.65387796,3.259045992,-0.759061578,-1.546553659,-0.95583996,0.47611872,0.65277138,0.216121668,0.171848169,-0.014232685,stable
2.42092638,3.425457215,9.929447047,2.759920717,,-0.982188504,-1.097289871,-1.157469244,,0.50558056,,0.936069532,-0.038811562,stable
6.359025221,2.406557285,3.915750131,,4.054943528,-1.072604555,-1.515371777,-1.475927981,0.565851657,0.387696511,0.958957776,0.651165452,0.036668937,unstable
,6.939555158,9.133317923,1.672765721,4.163839381,-1.137588809,-1.280320307,-1.750648276,0.24490855,0.84876508,0.326977718,0.584711774,0.009450427,unstable
8.378735476,3.98054394,4.493616226,2.329121447,3.781650221,-1.218634166,-0.670080314,-1.91428077,0.388867387,0.728346208,0.072251031,0.620909335,-0.018574982,stable
4.566456572,0.49599639,5.470592344,0.862733648,3.371682164,-0.983702341,-1.562802707,-0.80702776,0.977247762,0.327884385,0.053895022,0.80428423,-0.010290851,stable
3.97609159,9.517264547,7.710807732,0.962888913,2.413905801,-0.573690252,-0.675202536,-1.159594795,0.561514084,0.621346972,0.228836225,0.260824342,-0.003463074,stable
8.381095579,6.55410424,6.075459463,3.976773474,3.974451392,-1.632823555,-0.856719102,-1.488291619,0.413502913,0.504566439,0.233043165,0.386588332,0.020776542,unstable
2.924298672,3.175575726,6.812881049,9.022343285,4.456687121,-0.925993626,-1.691300195,-1.839620811,0.41354002,,,0.384028868,0.01874215,unstable
3.74727115,8.303651773,5.12817609,1.119832711,4.585935201,-1.720623466,-1.284113214,-1.588794491,0.64780534,0.593062889,0.963293593,0.986455343,0.029167296,unstable
1.884014622,5.701332939,3.709854314,2.362499616,4.051008833,-1.28861377,,-1.087734236,0.225570596,0.537678751,0.964253571,0.304485989,0.015209394,unstable
2.0245861,4.071467018,-22.26716617,9.527751111,4.073601526,-1.861181081,-0.775282352,-1.426441789,0.795553553,0.588713425,0.352657511,0.127114832,-0.03541817,stable
8.339610283,5.785345985,1.958472272,5.610049573,3.376219093,-0.663469617,-1.348624695,-1.358997089,0.78119211,0.369442763,,0.131550915,0.012499818,unstable
4.471879865,2.14042368,3.571116306,1.784487945,2.969605942,,-0.885817444,,0.696245783,0.399065374,0.785039455,,0.033176981,unstable
8.16036516,0.971000874,,9.423689728,3.570309394,-0.663214108,-1.308977832,-1.621980634,0.251356024,,0.976525944,0.882048676,0.050506716,unstable
6.385190181,1.584543747,2.210641443,3.910446052,4.199953667,-1.522191897,-1.275879041,-1.399548556,0.47580039,0.696721311,0.412199245,0.119278783,-0.036199729,stable
2.019720817,9.467936738,5.77780013,4.984292409,,-1.470805111,-1.033617913,-1.285978911,0.520962877,0.652028876,0.166387829,0.610662694,0.007768385,unstable
7.088966126,1.961074497,9.829261036,3.86243927,3.827069594,-0.980894764,-1.057724555,-1.786760323,0.979297238,0.611320375,0.080009456,0.369979609,0.012342926,unstable
9.590397584,7.602147462,2.087059834,3.352800375,3.835268987,-1.670314472,-1.478898922,-0.689183603,0.114075303,0.66608811,0.348094483,0.170328615,-0.019481707,stable
7.807619227,8.332437159,7.946402479,8.904733202,3.946504622,-1.047582302,-1.342261401,-1.562922766,0.587207453,0.886449676,0.276642782,0.3455255,0.063685075,unstable
4.715433385,1.24742056,3.846889613,4.405368142,5.252402634,-1.35719326,-1.975971882,-1.935770027,0.408543737,0.149841418,0.891685579,,0.016779591,unstable
1.999631808,1.835609671,6.286774942,1.014323749,4.183302245,-1.250498728,-1.210557836,-1.730227174,0.533618542,0.112205792,,0.495036455,-0.03775791,stable
7.787283738,9.658951709,5.12691413,1.366251607,3.356718579,-0.549096332,-1.527833708,-1.294369102,0.188012786,0.757576597,0.249567216,0.339912025,0.002259285,unstable
9.066638007,1.057808255,2.711602941,,4.995265056,-1.674451651,-1.364631699,-1.962072131,0.70474676,0.411744166,0.907142609,0.869645115,-0.018504391,stable
5.431928187,5.101437641,,5.080557215,3.607457946,,-1.818432272,,0.981256802,0.714925512,0.468027089,,0.094268335,unstable
4.94707144,4.534070331,4.311122954,5.970313373,4.854975152,-1.862179222,-1.969394764,-1.048041614,0.804306656,0.328488913,0.226059177,0.905200936,0.063383877,unstable
6.286559114,4.478346237,2.719309029,3.194939059,3.474634676,-0.830703164,-1.658939034,-0.985845087,0.73749826,0.870593269,0.405250071,,0.069463181,unstable
3.206423432,5.37844449,4.208783986,8.655547216,3.547399672,-0.519766075,-1.989064637,-1.040470052,0.952923424,0.862550151,0.749507354,0.42139982,0.07269339,unstable
2.350648992,3.183236606,9.330055557,5.067553048,3.025112244,-0.535169375,-1.98088078,-0.507733177,0.981279105,0.315528725,0.823823346,0.309252139,0.001139412,unstable
7.303760741,1.148148511,9.52237494,2.250055552,2.529533554,-0.849968644,,-0.510512498,0.819102142,0.916724924,0.329596228,0.160509892,-0.016543014,stable
3.708663211,2.49712372,,6.46323896,5.354204254,-1.680253375,-1.871812442,-1.789946071,0.294395688,,0.505387205,0.544121959,0.023028391,unstable
8.099682471,9.765901175,0.513998948,1.845602635,3.79908261,-1.849964201,-1.325870133,-0.616388244,0.277146016,0.717342297,0.47295575,0.37329635,-0.020439218,stable
1.846212851,6.824930856,2.59696438,4.108875005,4.631875649,-1.163243041,-5.582606343,-1.841826768,0.703207309,,0.878086091,0.264963034,0.003323667,unstable
3.797997199,6.448011162,7.670435658,7.328074283,4.365318333,-1.460737755,-1.130630563,-1.751307074,0.728027948,0.667035493,0.554187481,0.077866827,0.042409406,unstable
7.082672361,7.034744696,0.634723679,3.367844747,3.123930817,-0.736230895,-1.495620868,-0.864483312,0.246390719,0.134121654,0.654602577,0.297196433,-0.048714201,stable
1.035583229,5.35363148,3.102774967,7.701030383,3.942847153,-0.924928721,-1.799902766,-1.215452233,0.950214019,0.183349334,0.206434312,0.205354366,-0.027510376,stable
6.09386078,8.145695069,8.63261927,2.833945539,3.609989422,-0.632728896,-1.262041351,-1.720178728,0.429327492,0.694642527,0.271115176,0.169431461,0.026180016,unstable
7.224067921,6.098691157,,1.701451255,4.36626564,-1.999089484,-1.354705655,-1.015660108,0.156272982,0.596911936,0.356478647,0.805951056,-0.009639699,stable
0.722137582,6.548056221,2.759796498,7.174765725,3.476167211,-1.519661145,-1.046989714,-0.905051387,0.877441277,0.502824419,0.150906689,0.750746135,-0.011648178,stable
5.653902372,0.797383984,6.222961344,4.636324128,2.329085953,-0.512352554,-0.72668201,-1.075591607,0.598151242,0.386164333,,0.661863595,0.036890144,unstable
8.467264304,2.062165682,0.52671547,6.46984921,4.663826753,-1.788700537,-1.697380958,-1.173511378,0.550486065,0.945767975,0.951228556,0.2539414,-0.023725748,stable
2.5985299,7.803105885,9.217964039,0.732737375,4.98609701,-1.28325825,-1.863060565,-1.844580935,0.897256013,0.137569804,0.623603976,0.247492828,-0.02133887,stable
8.798169795,7.089174456,3.563812282,7.459231083,3.59498816,-1.15574516,-1.769431084,-0.682600043,0.068220352,0.169694253,,0.721054521,0.00107848,unstable
9.065760356,9.438268105,7.572058552,3.976713816,2.652821953,-1.387967893,-0.752898019,-0.501294587,0.464355726,0.927873675,0.771478667,0.114533268,0.066120409,unstable
5.407702686,7.47219252,4.802734055,5.820622288,4.069037919,-1.539792634,-0.62757853,-1.905185508,0.564282951,0.291260275,0.242069385,0.370173468,0.017014731,unstable
4.894726567,2.592804731,5.899811134,6.672166687,3.157596287,-1.059956627,-1.533029118,-0.569049777,0.445518014,0.469369834,0.071577346,0.08577127,-0.038905496,stable
5.641922658,6.212072386,6.732356783,2.776872302,3.261283023,-1.377111067,-0.844366205,-1.051417291,0.185011532,0.101890439,0.931021449,0.413855075,0.016215293,unstable
2.191527377,0.987315125,2.652672308,2.218936908,4.015433216,-1.241198717,-1.38562641,-1.409108341,0.351574852,0.27549166,0.177648435,0.815978388,-0.020031974,stable
2.686832979,5.701751658,9.54502338,9.218023359,4.687241648,,-1.706205563,-1.273879051,0.073475662,0.172921947,0.16672713,0.358765877,-0.02760028,stable
1.772071149,,4.610028183,1.117695269,4.508795488,-1.553698921,,-2.001470941,0.561776586,0.156960785,0.909155129,0.486963576,-0.015254524,stable
1.37275897,2.583096689,5.271653778,9.25798981,2.122460555,-0.586914105,-0.943199858,-0.596607627,0.657379189,0.534408373,0.221142365,0.700345303,-0.01485742,stable
5.564225149,1.271487408,2.213859612,1.569081301,4.038380093,-1.115075905,-0.970197054,-1.955382162,0.387451466,0.453430602,0.735763391,0.924921523,-0.030466963,stable
3.217727564,6.578659006,6.823904065,4.281609191,3.21811138,-1.34802623,-0.575749125,-1.272262746,0.150482644,0.221231798,0.661477305,0.304980585,0.001950376,unstable
,7.535014498,7.492127735,1.255547767,3.763010018,-0.732528671,-1.685958772,-1.329569106,0.579196346,0.326658247,0.62187101,0.689451551,0.007259853,unstable
3.252222133,3.227963617,6.54803839,9.318652435,4.375288913,-0.736737345,-1.912170326,-1.730120212,0.978476468,0.437279572,0.723771441,0.163776682,0.03054352,unstable
9.996127035,,2.391268451,3.493446893,4.446252125,-1.790440828,-1.472731625,-1.178392579,0.705401065,0.080713086,0.201277342,0.903155724,-0.010483409,stable
,8.281840755,2.546409678,4.536217303,4.190518746,-1.29144719,-1.05278584,-1.840930459,0.458512528,0.220557059,0.448367349,0.218815449,-0.015869025,stable
4.884483103,9.485431799,5.012303928,8.001442729,4.009474731,-1.8580169,-0.856274553,-1.294718688,0.668099294,0.960207509,0.572833906,0.872693352,0.084281498,unstable
2.070462078,4.362458465,1.277733676,6.374548036,4.60619989,,-1.894567549,-0.890559534,0.174411748,0.422098355,0.327800883,0.339086464,-0.035551096,stable
,0.698534287,2.513262434,,3.401956682,-1.934271219,-0.631285919,-0.825808611,0.597400812,0.555507807,0.688418674,0.707343148,0.007692896,unstable
3.253667841,7.864002136,,6.543720859,3.077011708,-1.234352389,-1.107185531,-0.738405394,0.506327548,0.621392008,0.28417549,0.848169664,0.055035314,unstable
,9.064493268,4.640001609,7.110636717,2.985958407,,-1.170327104,-0.549479505,0.09187464,0.971167758,0.080588418,0.394719103,0.034986061,unstable
8.506069078,5.71496461,8.068498885,4.3402063,4.286631274,-1.337799062,-1.185456489,-1.75047375,0.344772558,0.760649254,0.643688733,,0.056188504,unstable
4.389395283,3.626223502,8.077998773,1.523540175,3.216187793,-1.730886383,-0.97870198,-0.50456416,0.098264014,0.982374137,0.512022388,0.172274124,-0.006039823,stable
8.929619633,8.612056315,3.368835753,5.519447978,2.742035295,-1.218421405,-0.717080855,-0.807417372,0.880055331,0.127717784,0.22532385,0.077335822,0.012605706,unstable
4.884467607,6.264901623,,2.270272129,3.127591382,-1.334777586,-1.012021284,-0.762476332,0.372419109,0.698460975,,0.732805538,0.000146045,unstable
3.035770835,5.633847146,3.5801423,9.142879947,4.579467194,-1.486950707,-1.817357552,-1.278245165,0.811582533,0.270465167,0.676929128,0.909782069,0.035311908,unstable
2.398162063,5.237350504,4.847209738,2.661817256,3.711504753,-0.786722274,-0.914357999,-1.993096303,0.702770087,0.851751415,0.668262519,,0.049124306,unstable
4.848548789,3.205512597,0.980686362,5.137943582,3.422000524,-1.223052566,-1.189924854,-0.99543207,0.889420162,0.911097497,0.303394815,0.5760962,0.055636695,unstable
5.817254156,7.601273018,1.773190654,6.672974431,5.641534968,-1.842222108,-1.817028069,-1.965867047,0.847751062,0.785331401,,0.465255449,0.05696649,unstable
4.020029598,9.346429198,8.196963286,5.780899644,,-1.032862687,-1.704978063,-1.04790237,0.357867493,0.341789214,0.556068373,0.300340861,0.022453401,unstable
6.550089625,,7.05708413,9.572053094,3.888836394,-0.88128828,-1.289594362,-1.706565105,0.400111111,0.11539617,0.781889356,0.053653283,0.010128701,unstable
0.594932187,5.834859925,3.731260958,7.371115949,3.524455146,-1.137124141,-1.628817813,-0.766584566,0.977828606,0.454933259,,0.605911824,0.004739617,unstable
6.171834124,8.119362596,4.793239135,8.743577056,4.182031748,-1.744764661,-1.230873795,-1.219425111,0.430170512,0.104757064,0.830748552,0.494675983,0.037857783,unstable
3.555919366,8.289513602,6.374210627,6.419383173,2.512337265,-0.987846181,-0.519522235,-0.997547194,0.133519943,0.958983039,0.959686469,0.878152466,0.09019836,unstable
0.774675576,8.703917306,9.738844774,2.951177545,3.509824529,-0.548824982,-1.457962426,-1.495660802,0.229800902,0.265400198,0.767918567,0.109450061,0.002315668,unstable
6.910423717,5.947954071,2.051574859,0.624522033,5.156138745,-1.992017896,-1.460530426,-1.701364214,0.867864567,0.849953762,0.092097023,0.268099281,0.032797979,unstable
1.900151032,1.841664044,2.083227668,4.314385157,4.469892674,-1.462935465,,-1.157642312,0.39802423,0.103053453,0.775238914,0.19417195,-0.025224391,stable
4.794356132,4.524829938,4.839152228,8.635813821,4.867624202,-1.98294333,-1.358679553,-1.530901739,0.76119856,0.634776529,0.837497368,0.076477535,0.062041921,unstable
9.879536131,9.184495738,8.155541852,6.963609016,3.371620606,-0.722172515,-1.331233365,-1.328818753,0.623826672,0.708581305,0.339873701,0.18731685,0.052461966,unstable
3.480440213,8.918325785,9.366742253,5.848015667,3.578445095,-1.3065103,-0.802127173,-1.460327909,0.936386008,0.708803691,0.861397571,0.230554236,0.058535056,unstable
5.347391683,5.388055337,5.367881152,8.796176586,2.828615862,-0.695421736,-1.204768968,-0.9587522,,0.422515965,0.649463859,0.083751903,0.034572622,unstable
-22.08240769,3.2252793,7.880656275,2.274297298,3.211550643,-0.790121212,-0.572966778,-1.854343815,0.701175176,0.100268056,0.334426089,0.984325193,0.006134867,unstable
4.854504764,3.525716069,7.808912187,7.96563599,2.893446755,-0.596530723,-1.266481558,-1.021689253,0.817629528,0.572606731,0.371401586,0.603327959,0.053427074,unstable
4.907904241,9.108126279,4.046626629,3.229294955,3.823241203,-0.728507091,-1.741384485,-1.343376488,0.86232568,0.87252094,0.749438279,0.072505173,0.053895937,unstable
3.625395712,2.354764708,6.829877536,2.464804104,5.134049829,-1.717430533,-1.664870161,-1.762073194,0.78145331,0.650689768,0.80279329,0.086277796,0.025982084,unstable
9.064166048,7.26781927,,9.286098734,5.352760391,-1.953915416,-1.485840383,-1.909035445,0.474454829,0.076314706,0.751276815,0.893128439,0.013608633,unstable
5.848120142,4.646587263,9.425594875,5.556999934,2.666674565,-0.792623513,-0.979903396,-0.917051884,0.39650035,0.10016756,0.94150428,0.055952296,0.026048549,unstable
5.412053568,5.330157255,,8.913642185,3.573177312,-1.458308978,-0.64210761,-1.446951318,0.365354463,0.978135116,0.649417833,0.547180395,0.021595374,unstable
6.649344247,1.223291673,7.880640045,7.075096698,2.572086935,-0.51472932,-0.510988768,-1.562553878,0.532541493,,0.942923778,0.889983995,0.070570764,unstable
5.032896779,2.181502429,6.285666535,0.577900581,4.319541706,-1.951109712,-1.071894703,-1.283189185,0.549776428,0.072107646,0.425051579,0.813165369,-0.040628748,stable
4.057673837,0.913581615,5.828444659,4.428370873,,-0.697482958,-1.41613138,-1.450919987,0.809323387,0.42777709,0.861066122,0.547160587,0.050780563,unstable
2.319247355,7.439223481,4.334829029,1.982647465,3.696567419,-1.204145466,-1.753235475,-0.728669483,0.3788754,0.319259538,0.054089715,0.352340132,-0.035855125,stable
3.872228606,6.904141905,2.658382608,9.721053872,2.330006219,-0.544736876,-0.640042678,-1.151846396,0.408001572,0.32443527,0.526687762,0.487466602,-0.002836178,stable
9.047236778,6.518406631,9.457925291,0.573238152,3.956393297,-0.830939767,,-1.443768378,,0.561867942,0.872382488,0.203999951,0.042345514,unstable
4.200281941,6.894491653,3.749191607,8.634745507,4.888289649,-1.123136048,-1.833266645,,0.442169418,0.432527911,0.607466374,0.460722998,0.029313081,unstable
9.479715268,1.09853375,3.692400177,9.678196535,2.31403325,-0.901880529,-0.508882779,-0.883321406,0.342558128,0.551603111,0.177211327,0.080618083,-0.059050681,stable
5.787109361,8.307123011,3.876719843,9.57756863,3.611074694,-1.597451984,-1.087211137,-0.923758684,0.908969657,0.683600238,0.428918967,0.599540387,0.068121197,unstable
3.557764362,4.381455078,5.01585381,7.76964221,2.063420786,-0.70182362,-0.769008748,-0.603885791,0.593779616,0.872025472,0.172652398,0.584714274,0.041613415,unstable
9.222633604,6.758413393,8.36592578,4.972464795,4.190257293,,-0.506582589,-1.915461614,,0.99628906,0.575010387,0.059295722,0.072419028,unstable
8.995559139,7.705574547,9.589291292,4.483625461,4.293255038,,-1.545882439,-1.212994082,0.778516833,0.93841454,0.111887858,0.788981693,0.070734778,unstable
1.231269949,6.049837375,4.082102007,8.114601451,2.767379357,,-0.797369885,-1.307977395,0.875484541,0.436474086,0.742544271,0.34818324,-0.006323723,stable
7.185660906,0.679254914,8.947216536,2.569804071,4.581234079,-0.94536547,-1.991339928,-1.656003152,0.492927382,0.748916386,0.74904655,0.455094149,-0.008235669,stable
